longitude,latitude,altitude
11.736865,43.328259,263.5
11.73764,43.327957,263.5
11.738758,43.327602,263.6
11.739437,43.32747,263.7
11.739829,43.327506,263.6
11.739882,43.327511,263.5
11.740684,43.327699,263.0
11.742443,43.328113,261.6
11.744644,43.328635,260.5
11.744832,43.32868,260.5
11.74593,43.328931,260.5
11.746308,43.328981,260.5
11.746541,43.329008,260.6
11.746655,43.329022,260.6
11.747113,43.329075,260.7
11.748211,43.329211,262.0
11.74841,43.329238,262.2
11.748669,43.329272,262.6
11.749303,43.329356,263.9
11.749821,43.329394,265.2
11.749884,43.329387,265.8
11.750431,43.329331,268.0
11.751275,43.329157,271.7
11.752392,43.328873,276.3
11.752978,43.328743,277.3
11.753243,43.328715,277.8
11.753443,43.328737,278.1
11.753754,43.328858,278.5
11.753831,43.328895,278.7
11.754167,43.329035,279.9
11.754411,43.329079,280.8
11.754481,43.329075,281.3
11.754747,43.329044,282.4
11.755058,43.328979,283.0
11.75528,43.328923,283.2
11.755449,43.328878,283.4
11.756245,43.328697,283.0
11.756795,43.328562,281.5
11.758027,43.328274,275.0
11.758698,43.328132,273.2
11.759113,43.328038,272.8
11.759261,43.328005,272.6
11.7597,43.327909,272.2
11.759953,43.327855,271.9
11.760073,43.327829,271.8
11.760207,43.3278,271.7
11.760467,43.327737,271.0
11.760792,43.327602,270.0
11.761307,43.327356,268.9
11.761627,43.32727,268.5
11.76191,43.327244,267.9
11.762289,43.327221,267.0
11.762954,43.327181,264.9
11.763606,43.327119,263.6
11.763628,43.327115,263.3
11.764147,43.327007,261.7
11.764543,43.326839,260.7
11.765358,43.326391,258.9
11.765831,43.326145,258.3
11.766099,43.326023,258.3
11.766382,43.325936,258.2
11.76665,43.325859,258.2
11.767724,43.325562,258.6
11.768091,43.325442,258.7
11.769137,43.325014,259.0
11.769424,43.324928,259.0
11.769473,43.324917,259.0
11.769961,43.324807,259.3
11.770544,43.324762,259.8
11.771067,43.324785,260.2
11.77227,43.325031,261.5
11.772857,43.325157,262.0
11.773162,43.325223,262.4
11.773772,43.32533,263.3
11.774407,43.325352,264.2
11.775346,43.32536,266.2
11.776003,43.32533,267.9
11.77671,43.325349,270.2
11.777496,43.32543,273.4
11.777849,43.325503,274.3
11.778519,43.325601,276.0
11.778883,43.325612,276.6
11.778925,43.325613,276.9
11.779149,43.32562,277.6
11.779656,43.325546,279.7
11.780036,43.325416,281.1
11.780661,43.325111,283.9
11.78073,43.325077,284.4
11.780871,43.325004,284.9
11.781786,43.324528,287.0
11.78194,43.324449,287.0
11.782452,43.324183,287.0
11.782923,43.323922,287.0
11.783278,43.323737,287.1
11.783462,43.32364,287.3
11.783908,43.323395,288.1
11.784381,43.32316,289.0
11.784747,43.322979,289.8
11.785197,43.322778,290.7
11.785751,43.322578,291.3
11.787769,43.321978,292.6
11.788824,43.32164,293.7
11.790028,43.321358,294.5
11.790553,43.321259,294.7
11.790767,43.321214,294.7
11.790784,43.321212,294.8
11.79175,43.321102,294.9
11.795591,43.32078,282.5
11.796048,43.320674,281.0
11.796461,43.320517,279.7
11.798305,43.31975,277.5
11.799287,43.319322,277.8
11.801939,43.318034,280.8
11.802338,43.317827,281.0
11.80497,43.316464,274.9
11.806833,43.315464,268.7
11.806904,43.315427,268.3
11.807856,43.3149,265.9
11.808008,43.314799,265.7
11.809016,43.315402,262.3
11.80937,43.315605,260.8
11.809505,43.315691,260.3
11.809901,43.315965,258.3
11.810141,43.316129,257.3
11.810928,43.31668,253.7
11.811485,43.317075,251.9
11.811715,43.317211,251.3
11.81226,43.317608,249.6
11.812379,43.317695,249.3
11.812579,43.317778,249.1
11.812629,43.317776,249.0
11.812679,43.317782,248.8
11.812764,43.317822,248.8
11.812793,43.317853,248.7
11.81281,43.317887,248.7
11.812816,43.317924,248.6
11.812934,43.318068,248.6
11.813189,43.318238,248.5
11.813415,43.318393,248.4
11.813501,43.318473,248.3
11.814267,43.318991,247.4
11.814533,43.319161,247.1
11.81503,43.319465,246.4
11.815227,43.319548,246.3
11.815475,43.319579,246.0
11.815949,43.319588,245.6
11.817411,43.31942,244.8
11.822193,43.318961,244.8
11.824366,43.318735,244.1
11.824894,43.318684,243.7
11.826664,43.318511,243.4
11.827009,43.318478,243.5
11.828211,43.318359,243.9
11.82996,43.318186,243.7
11.831128,43.3181,243.3
11.831711,43.318152,243.2
11.83224,43.318325,243.1
11.832894,43.318651,243.0
11.833842,43.319155,243.0
11.834526,43.319559,242.9
11.835229,43.320039,242.8
11.835583,43.320226,242.7
11.835637,43.320248,242.6
11.835672,43.320258,242.6
11.836371,43.320446,242.4
11.836439,43.320465,242.3
11.837017,43.320693,242.1
11.837597,43.320949,242.0
11.840848,43.322202,241.3
11.841184,43.322313,241.3
11.841688,43.322459,241.2
11.843573,43.32296,241.4
11.846107,43.323673,243.6
11.846326,43.323739,243.8
11.846518,43.323814,243.9
11.846901,43.324023,244.3
11.847049,43.324152,244.4
11.847251,43.324369,244.5
11.848907,43.326321,256.2
11.849456,43.326887,260.2
11.849742,43.327063,261.4
11.850153,43.327224,262.2
11.852171,43.327919,263.7
11.853299,43.328331,264.1
11.854744,43.328861,264.7
11.856598,43.329563,263.8
11.858233,43.330185,261.2
11.861915,43.331615,261.0
11.865003,43.332783,259.7
11.865928,43.33312,259.2
11.866275,43.333242,259.1
11.868843,43.33417,257.0
11.869683,43.334478,256.4
11.869742,43.3345,256.4
11.870012,43.334596,256.2
11.870458,43.334742,256.0
11.871017,43.334913,255.7
11.871763,43.335093,255.2
11.87216,43.335187,254.9
11.872476,43.335232,254.7
11.872762,43.335247,254.5
11.872935,43.335239,254.5
11.873624,43.335182,254.2
11.875118,43.335024,254.0
11.875485,43.335018,254.0
11.875817,43.335022,254.0
11.877223,43.335056,254.0
11.878068,43.335061,254.0
11.87971,43.33509,253.7
11.879956,43.33509,253.6
11.880481,43.335092,253.4
11.880717,43.335097,253.4
11.881003,43.335121,253.3
