longitude,latitude,altitude
8.188391,48.253028,581.8
8.188107,48.253035,581.7
8.187832,48.253116,578.1
8.187516,48.253319,575.6
8.186976,48.253859,574.9
8.186695,48.254039,575.0
8.186568,48.254059,575.1
8.186497,48.254015,575.1
8.186466,48.25394,575.0
8.186482,48.253866,574.6
8.186986,48.252651,567.7
8.187088,48.252485,566.5
8.187251,48.252342,565.3
8.187414,48.252265,564.0
8.187745,48.252159,561.1
8.188372,48.25203,555.3
8.188571,48.251966,553.9
8.189253,48.251647,546.3
8.189381,48.251535,545.1
8.189478,48.251392,544.0
8.189569,48.251104,541.1
8.189574,48.250999,540.0
8.189518,48.250839,539.0
8.189202,48.250402,535.4
8.189182,48.250195,534.3
8.189218,48.249822,532.3
8.189182,48.249754,531.7
8.189121,48.249723,531.2
8.18905,48.249716,530.6
8.188897,48.249757,529.9
8.188734,48.249873,529.2
8.188601,48.250052,527.8
8.18855,48.250201,527.4
8.188652,48.25066,525.9
8.188627,48.250728,525.7
8.188545,48.250802,525.4
8.188423,48.250843,525.2
8.188209,48.250887,524.9
8.187496,48.250965,522.3
8.187327,48.250951,521.7
8.186859,48.250884,518.8
8.18667,48.250863,517.3
8.186451,48.250884,515.8
8.18586,48.250992,509.8
8.185712,48.251006,508.4
8.185605,48.250979,507.0
8.185559,48.250924,505.6
8.185549,48.250846,504.3
8.18557,48.250765,502.8
8.185697,48.250578,500.2
8.186196,48.250117,494.3
8.186319,48.249964,493.7
8.186359,48.249866,493.4
8.186354,48.249781,492.9
8.186262,48.24952,490.8
8.186273,48.249442,489.3
8.186461,48.249096,482.0
8.186487,48.248824,476.0
8.186538,48.248545,469.1
8.186717,48.248365,463.6
8.186811,48.248273,460.3
8.18685,48.248241,457.1
8.186861,48.2482,454.0
8.186864,48.247926,445.5
8.186666,48.247769,442.2
8.186621,48.247701,440.7
8.186599,48.247636,439.3
8.18661,48.247571,437.9
8.186649,48.247517,436.6
8.18684,48.247397,435.2
8.186999,48.247004,430.7
8.187017,48.246924,429.9
8.187354,48.246824,429.0
8.187912,48.246702,429.1
8.189761,48.246569,426.8
8.190444,48.246482,426.1
8.190809,48.246366,426.0
8.191062,48.246263,425.9
8.191375,48.246087,425.4
8.191709,48.246015,424.5
8.192037,48.245965,423.0
8.192062,48.245965,420.8
8.192802,48.24595,409.7
8.193007,48.245923,407.5
8.193545,48.245797,398.8
8.19398,48.245742,392.2
8.194185,48.245667,390.2
8.194368,48.24561,388.9
8.194553,48.245588,387.4
8.194832,48.245588,384.9
8.194947,48.24562,383.9
8.195253,48.245842,384.5
8.195436,48.245997,384.7
8.195597,48.246169,384.7
8.195727,48.24636,384.7
8.196015,48.246865,383.0
8.196098,48.24694,381.6
8.19621,48.246975,380.6
8.196865,48.247124,377.3
8.197376,48.247026,377.3
8.197523,48.247018,377.5
8.197666,48.247034,377.8
8.198778,48.24723,383.3
8.199201,48.247265,386.3
8.199439,48.247314,387.1
8.199715,48.247352,388.3
8.199984,48.247374,388.0
8.200805,48.247407,383.0
8.201551,48.247474,376.2
8.202309,48.247607,366.2
8.202896,48.247689,356.1
8.203139,48.247742,353.8
8.206384,48.248999,324.7
8.206546,48.249091,324.7
8.206639,48.249162,324.2
8.20681,48.249271,323.7
8.207319,48.249566,320.5
8.207783,48.249828,318.0
8.207976,48.249908,317.6
8.20815,48.24996,317.3
8.208406,48.249993,317.0
8.208475,48.249989,316.8
8.208549,48.249975,316.5
8.208681,48.249934,316.2
8.208729,48.249876,316.3
8.208816,48.249769,316.4
8.208903,48.249605,316.4
8.209234,48.249309,317.5
8.209587,48.249044,322.4
8.209829,48.248881,326.4
8.209977,48.248817,327.5
8.210144,48.248774,328.3
8.210466,48.248761,329.3
8.210596,48.248766,329.1
8.21071,48.24842,328.5
8.210726,48.248385,328.0
8.210795,48.248242,327.5
8.21105,48.248043,326.4
8.21125,48.247943,325.6
8.211374,48.247917,324.8
8.211436,48.247898,324.1
8.211465,48.247791,322.9
8.211501,48.24766,321.2
8.211518,48.247603,319.0
8.211549,48.247499,317.4
8.211733,48.24684,309.1
8.211753,48.246757,308.1
8.21186,48.246339,304.9
8.211877,48.246272,304.5
8.211949,48.245993,303.6
8.212033,48.245697,302.9
8.212124,48.245439,301.5
8.212132,48.24542,301.1
8.212241,48.245138,300.7
8.212536,48.244444,302.2
8.212667,48.244112,303.1
8.212891,48.243737,305.2
8.212922,48.243686,305.8
8.212951,48.243625,306.4
8.213698,48.242641,311.6
8.213705,48.242631,311.5
8.213958,48.242217,310.1
8.214054,48.242044,309.2
8.214172,48.241728,307.7
8.214317,48.241104,304.8
8.214317,48.240362,303.7
8.214163,48.239668,303.8
8.213973,48.238745,305.1
8.213935,48.238602,305.4
8.213664,48.237449,307.8
8.213635,48.237228,308.1
8.213618,48.236981,308.5
8.213619,48.236832,308.7
8.213648,48.236423,309.8
8.213762,48.235912,311.6
8.213809,48.235828,312.1
8.213858,48.23574,312.5
8.214106,48.235262,314.5
8.214426,48.234682,316.1
8.214576,48.234514,316.2
8.214733,48.234355,316.2
8.21501,48.234124,316.4
8.215226,48.233897,316.3
8.215432,48.233624,316.3
8.215508,48.233491,316.4
8.215584,48.233333,316.5
8.215632,48.233131,317.0
8.215686,48.2328,317.8
8.215844,48.232415,319.3
8.21601,48.232169,320.4
8.216707,48.231462,323.0
8.216837,48.231258,323.2
8.21699,48.230912,323.4
8.217076,48.230707,323.7
8.217261,48.23052,324.0
8.217623,48.230198,324.6
8.217719,48.230115,324.7
8.217954,48.229919,325.9
8.219014,48.228998,335.7
8.219126,48.228888,336.6
8.21966,48.228424,341.3
8.220213,48.227777,343.8
8.221294,48.22676,349.4
8.221389,48.226648,350.0
8.221494,48.226462,351.3
8.221771,48.225995,354.8
8.222346,48.225135,363.2
8.222463,48.224922,364.9
8.222499,48.224733,366.2
8.222469,48.224568,366.8
8.222349,48.224377,367.7
8.222132,48.224109,368.5
8.222031,48.223902,368.8
8.221989,48.22354,370.3
8.222076,48.223137,372.9
8.22232,48.222619,377.4
8.222381,48.222359,379.3
8.222447,48.222194,380.8
8.222483,48.222102,382.3
8.222531,48.221984,382.8
8.222798,48.221497,382.8
8.222867,48.22136,382.4
8.223098,48.221402,381.8
8.223277,48.221429,381.2
8.223386,48.221396,379.8
8.223488,48.221334,378.4
8.223538,48.221228,377.1
8.223545,48.221113,375.8
8.223541,48.220707,372.1
8.223626,48.220378,368.4
8.223746,48.220172,367.8
8.224815,48.218582,372.9
8.225195,48.218254,373.2
8.225351,48.218136,373.0
8.22555,48.217987,372.6
8.225705,48.217837,372.2
8.22587,48.217633,370.4
8.225981,48.217474,369.4
8.226041,48.217323,368.4
8.226092,48.217186,367.5
8.226288,48.216507,361.8
8.226345,48.216308,360.6
8.226525,48.215315,360.8
8.226539,48.215275,361.2
8.226563,48.215218,361.6
8.226637,48.214997,362.6
8.226733,48.214778,362.9
8.226813,48.214628,362.8
8.226918,48.214508,362.6
8.227154,48.214237,362.3
8.227456,48.213952,362.5
8.227931,48.213504,361.9
8.228009,48.213551,361.7
8.228253,48.213631,360.9
8.228474,48.213648,360.4
8.229041,48.213689,359.5
8.229365,48.213715,359.3
8.229473,48.21373,359.1
8.229521,48.213737,358.9
8.22956,48.213751,358.6
8.23007,48.213941,358.0
8.230704,48.214196,359.1
8.230842,48.214256,359.6
8.231032,48.214373,360.2
8.231203,48.214625,361.9
8.231252,48.214717,362.6
8.231414,48.214995,364.6
8.231568,48.215125,365.3
8.234494,48.215823,374.0
8.235979,48.215975,376.8
8.236572,48.216125,378.3
8.236626,48.216089,378.7
8.236653,48.216056,379.1
8.236678,48.216026,379.4
8.236694,48.215935,379.7
8.236677,48.215827,380.4
8.236658,48.215713,380.7
8.236577,48.215395,381.4
8.236926,48.215448,382.8
8.237465,48.215499,386.2
8.237736,48.215505,387.9
8.238408,48.215488,391.1
8.238593,48.215494,392.4
8.238796,48.21554,393.9
8.239271,48.215666,398.0
8.239519,48.21571,399.4
8.240397,48.215802,404.7
8.24054,48.215833,405.1
8.240665,48.215879,405.5
8.24075,48.215924,405.1
8.240788,48.215951,404.7
8.240871,48.216009,404.4
8.240934,48.216054,404.1
8.24099,48.216093,403.8
8.241118,48.216334,402.7
8.241197,48.216561,400.8
8.241338,48.21673,399.1
8.241452,48.21683,398.3
8.242648,48.217254,400.7
8.243177,48.217453,407.2
8.243529,48.21761,411.9
8.243686,48.21768,413.6
8.244247,48.217934,420.6
8.245052,48.218501,424.8
8.2453,48.218742,424.1
8.245497,48.219,423.4
8.245583,48.21906,423.1
8.245754,48.219143,422.8
8.246136,48.219364,423.2
8.246699,48.219628,425.9
8.24715,48.219809,428.9
8.247715,48.219863,436.3
8.248191,48.21981,442.8
8.248901,48.219691,453.7
8.249518,48.219524,460.2
8.250207,48.219287,465.8
8.251808,48.218464,467.8
8.252297,48.218328,472.4
8.252633,48.21828,477.9
8.252966,48.218232,483.4
8.254579,48.218246,509.8
8.255694,48.218243,512.5
8.256133,48.218186,509.4
8.256364,48.218211,508.4
8.256489,48.218252,507.3
8.256551,48.218282,505.6
8.256646,48.218381,502.6
8.257181,48.218417,494.0
8.257942,48.218538,481.5
8.258968,48.218715,469.3
8.25943,48.218766,465.5
8.259643,48.218763,465.0
8.260457,48.218596,470.6
8.261408,48.218254,476.8
8.261611,48.218121,478.1
8.26234,48.217639,482.1
8.262498,48.217531,482.6
8.263114,48.217073,487.6
8.26335,48.216857,490.0
8.263559,48.216578,493.4
8.263735,48.216437,495.8
8.263983,48.216336,498.1
8.264873,48.216108,504.9
8.265557,48.215978,507.1
8.266623,48.215851,508.9
8.266979,48.215843,509.5
8.267158,48.215846,509.9
8.268155,48.215909,516.8
8.269099,48.215888,525.8
8.269496,48.215846,529.6
8.269823,48.215785,533.8
8.270487,48.215613,545.5
8.271101,48.215422,554.7
8.271981,48.215221,562.3
8.272405,48.215171,564.1
8.272722,48.215107,564.5
8.272984,48.21504,565.6
8.273463,48.214857,567.8
8.273641,48.214748,568.3
8.273974,48.214499,570.9
8.274113,48.214381,572.6
8.274499,48.214106,580.1
8.275575,48.213618,596.5
8.275731,48.213491,597.8
8.27597,48.213232,602.2
8.276571,48.212582,609.1
8.276772,48.212445,610.8
8.276965,48.212335,612.1
8.277082,48.212269,613.1
8.278952,48.211459,630.8
8.279308,48.211252,633.1
8.279551,48.211017,635.6
8.279843,48.210531,639.3
8.279997,48.210368,640.4
8.280383,48.210128,641.9
8.281842,48.209441,648.4
8.282067,48.209296,649.8
8.282383,48.209104,654.6
8.283205,48.208781,669.7
8.284021,48.208265,689.4
8.284353,48.208126,694.1
8.285124,48.207909,701.4
8.285703,48.207667,704.8
8.286064,48.207489,706.1
8.28638,48.207313,707.2
8.286949,48.206977,705.1
8.287351,48.206746,703.1
8.287866,48.206488,701.4
8.288616,48.20617,699.5
8.288883,48.206039,698.8
8.28911,48.205904,699.0
8.289336,48.205724,700.5
8.290135,48.205019,711.1
8.290704,48.204649,718.9
8.291074,48.204451,725.0
8.291201,48.204383,727.0
8.292863,48.203669,747.0
8.294589,48.202662,746.2
8.295386,48.202252,744.9
8.296421,48.201718,744.3
8.297074,48.201392,745.9
8.297637,48.201135,747.7
8.298722,48.200701,751.2
8.299059,48.200565,751.9
8.299432,48.200416,752.4
8.299908,48.200189,752.7
8.299996,48.200148,752.8
8.300336,48.199921,754.3
8.300566,48.199737,755.8
8.30096,48.199203,760.2
8.301197,48.198694,765.1
8.30131,48.198427,768.2
8.301448,48.197854,771.8
8.301501,48.196908,774.1
8.301435,48.19586,776.1
8.301368,48.195017,781.1
8.301355,48.194856,782.0
8.301277,48.193887,795.9
8.301199,48.193268,807.6
8.301117,48.192805,817.0
8.300667,48.191931,830.8
8.300387,48.191468,836.5
8.299979,48.190972,842.6
8.299621,48.19044,849.3
8.299171,48.1896,859.9
8.298921,48.188999,867.5
8.298829,48.188508,871.8
8.298793,48.188166,873.9
8.298873,48.187143,879.3
8.298945,48.185646,893.5
8.299116,48.184066,909.3
8.299119,48.183967,909.4
8.299248,48.182091,903.8
8.299276,48.181711,902.0
8.29929,48.181657,902.3
8.299419,48.181141,904.3
8.300024,48.179009,911.8
8.300337,48.177906,909.8
8.300398,48.177688,909.5
8.300661,48.17697,909.0
8.300764,48.17628,909.4
8.300809,48.175427,909.1
8.300938,48.173761,895.4
8.301116,48.173306,889.7
8.301233,48.173123,887.6
8.301474,48.172747,883.2
8.301919,48.172366,876.9
8.302989,48.171662,859.2
8.303851,48.171,845.4
8.304254,48.170724,840.2
8.307591,48.168749,827.0
8.307804,48.168602,827.0
8.308349,48.16825,825.6
8.309103,48.167684,820.7
8.309349,48.167391,818.1
8.309646,48.166733,811.8
8.309776,48.166445,808.9
8.309987,48.166218,806.9
8.311433,48.165077,791.4
8.312024,48.164539,787.1
8.312357,48.164312,785.7
8.316122,48.162344,777.4
8.316453,48.162182,776.7
8.316901,48.161972,775.9
8.317803,48.161638,775.2
8.320266,48.161068,772.5
8.32097,48.160789,770.8
8.321372,48.16061,770.1
8.321473,48.160551,769.9
8.32215,48.160088,769.0
8.323147,48.159282,770.6
