longitude,latitude,altitude
14.87804,38.07402,534.5
14.878049,38.074011,534.5
14.878117,38.073861,534.6
14.878281,38.0738,534.7
14.879047,38.073838,535.7
14.879225,38.073906,535.9
14.879252,38.074011,536.0
14.879231,38.074048,536.1
14.879178,38.074081,536.2
14.879047,38.074111,536.3
14.878982,38.07417,536.3
14.878964,38.074207,536.3
14.878973,38.074252,536.4
14.879006,38.074284,536.4
14.879433,38.07431,537.0
14.87968,38.07427,537.7
14.879997,38.074331,538.9
14.880098,38.074364,539.7
14.880484,38.074574,546.8
14.880927,38.074878,562.2
14.881253,38.075009,573.6
14.88134,38.075016,577.6
14.8818,38.074909,593.4
14.881871,38.07492,597.0
14.881871,38.074957,600.6
14.881844,38.074986,603.8
14.881464,38.075151,610.8
14.881221,38.075184,613.3
14.880772,38.075153,614.3
14.880636,38.075124,613.8
14.880336,38.075015,611.8
14.880241,38.074997,610.1
14.880128,38.075011,609.8
14.880032,38.075057,609.3
14.879644,38.075383,606.8
14.879503,38.075483,606.0
14.878956,38.075714,604.3
14.878537,38.075845,605.0
14.877927,38.076007,610.1
14.877689,38.0761,610.5
14.877531,38.076343,611.3
14.877649,38.076487,611.8
14.878006,38.076431,613.2
14.878846,38.076356,614.6
14.879067,38.076437,614.9
14.879337,38.0765,615.4
14.879654,38.076468,616.3
14.87986,38.076393,616.9
14.880438,38.076437,620.0
14.880739,38.076431,621.4
14.881143,38.076338,623.9
14.88127,38.076387,624.8
14.881515,38.076587,627.5
14.882418,38.076668,632.1
14.882814,38.076637,635.2
14.88325,38.07673,640.6
14.883606,38.076905,647.2
14.883733,38.076874,649.6
14.883868,38.076768,652.2
14.88409,38.076818,657.5
14.884256,38.077061,666.7
14.884288,38.077285,673.0
14.884153,38.07746,679.3
14.884216,38.07751,682.2
14.884304,38.077391,684.8
14.884462,38.077317,687.2
14.884723,38.07731,691.3
14.885025,38.077504,696.2
14.885452,38.077666,702.1
14.886023,38.077653,707.6
14.886308,38.077728,710.1
14.88636,38.077819,712.6
14.886387,38.077865,715.5
14.886664,38.077953,721.4
14.886934,38.077946,726.9
14.887124,38.077871,729.5
14.887179,38.077354,741.6
14.887472,38.077161,748.3
14.887718,38.077036,752.2
14.887948,38.076861,755.6
14.888209,38.076892,758.2
14.888574,38.076543,760.1
14.888669,38.076637,760.8
14.888558,38.076917,762.8
14.888265,38.07726,764.8
14.888391,38.07736,765.0
14.888558,38.077248,765.2
14.888851,38.076818,766.6
14.889176,38.076562,767.4
14.889611,38.076524,768.3
14.889857,38.076331,770.3
14.890197,38.075851,777.0
14.890625,38.075676,782.5
14.89056,38.07518,789.0
14.890379,38.075102,790.2
14.890461,38.074649,794.5
14.890365,38.074232,797.1
14.890372,38.074088,797.7
14.890514,38.073911,798.9
14.890704,38.07375,800.1
14.890769,38.073672,800.6
14.89097,38.073324,801.9
14.890964,38.073277,802.1
14.89093,38.073209,802.2
14.890876,38.073188,802.2
14.890613,38.073163,802.0
14.890289,38.07318,801.8
14.890208,38.073167,801.6
14.889977,38.073087,801.1
14.889707,38.073066,800.5
14.889589,38.073009,800.1
14.889535,38.072956,799.8
14.889422,38.072781,798.9
14.889382,38.072646,798.5
14.889436,38.072312,797.8
14.889444,38.072135,797.6
14.889462,38.072078,797.6
14.889546,38.072044,797.6
14.889626,38.072059,798.6
14.889597,38.072154,799.7
14.88961,38.072348,801.9
14.889698,38.072618,805.2
14.889771,38.072732,806.3
14.889884,38.072777,807.5
14.890168,38.072829,809.8
14.890356,38.07284,811.0
14.89056,38.072815,812.1
14.890637,38.072796,813.2
14.890897,38.072682,815.4
14.891101,38.07269,816.7
14.891297,38.072673,818.0
14.891463,38.072625,819.2
14.89163,38.072532,820.6
14.891762,38.072528,821.1
14.892542,38.072572,825.9
14.892597,38.072602,827.0
14.892633,38.072665,828.1
14.892664,38.07286,830.6
14.892569,38.073074,833.1
14.892536,38.073184,834.5
14.892531,38.073278,835.9
14.892561,38.07335,837.2
14.892738,38.073623,841.3
14.892865,38.073843,843.4
14.893081,38.073647,845.3
14.893111,38.073578,846.2
14.893033,38.073412,847.0
14.892947,38.073307,847.7
14.892912,38.073207,848.4
14.892917,38.073154,849.0
14.892971,38.073072,849.5
14.893156,38.072929,850.4
14.893226,38.07284,850.9
14.893312,38.072582,851.8
14.893317,38.072468,852.2
14.893277,38.072318,852.6
14.893279,38.072278,852.9
14.893309,38.072242,853.1
14.893338,38.072221,853.3
14.893393,38.072212,853.6
14.893896,38.072253,855.3
14.894162,38.072253,856.4
14.894266,38.07223,857.2
14.895004,38.071967,865.5
14.895138,38.071909,867.1
14.895264,38.071816,868.7
14.895425,38.071527,873.1
14.89554,38.071417,874.5
14.89575,38.071272,877.1
14.896141,38.071172,880.0
14.896957,38.071052,881.4
14.897644,38.070906,877.0
14.898738,38.070625,867.3
14.89999,38.070234,861.3
14.900427,38.070169,861.2
14.901043,38.070027,861.9
14.901473,38.070007,862.5
14.902506,38.070053,863.2
14.902946,38.070086,862.5
14.903104,38.070084,862.2
14.903256,38.070071,861.9
14.904169,38.069915,859.5
14.904373,38.069858,859.3
14.904671,38.069749,858.8
14.905442,38.069357,857.6
14.905872,38.068962,857.3
14.906342,38.068619,856.9
14.906473,38.068541,856.8
14.906733,38.068437,856.6
14.906898,38.068406,856.5
14.907978,38.068351,856.1
14.908362,38.068282,856.3
14.908938,38.068154,857.4
14.909246,38.068059,858.0
