longitude,latitude,altitude
14.681181,37.427211,99.0
14.681746,37.427342,99.0
14.6825,37.427472,99.0
14.68297,37.427545,99.0
14.683727,37.424937,95.6
14.684493,37.425071,94.8
14.68514,37.425184,94.3
14.686838,37.425484,93.6
14.687073,37.425525,93.5
14.688598,37.425794,92.3
14.689363,37.425929,91.7
14.690461,37.426124,91.1
14.691885,37.426377,90.8
14.693199,37.426611,90.3
14.693513,37.426638,90.2
14.693961,37.427286,90.1
14.695034,37.428856,91.3
14.695103,37.428984,91.4
14.6952,37.429241,91.7
14.695314,37.429654,92.2
14.697083,37.429238,93.4
14.697229,37.429204,93.5
14.699019,37.428768,91.4
14.699187,37.428728,91.1
14.701287,37.42822,87.5
14.702901,37.427822,86.3
14.704819,37.427392,84.3
14.706029,37.427228,83.5
14.706207,37.427205,83.4
14.706989,37.427094,82.3
14.709398,37.426739,78.8
14.712513,37.426264,75.7
14.717366,37.42554,74.2
14.721139,37.424969,74.0
14.722212,37.424807,73.6
14.722864,37.424708,73.0
14.725005,37.424383,71.0
14.725109,37.424367,71.0
14.727837,37.423961,70.4
14.728263,37.423895,70.3
14.728446,37.423869,70.3
14.728543,37.423856,70.2
14.728985,37.42379,70.1
14.732055,37.423323,69.8
14.734673,37.422914,72.3
14.735501,37.422794,73.1
14.736296,37.422704,71.8
14.737092,37.422738,69.5
14.738542,37.422808,67.8
14.739708,37.422847,68.1
14.740186,37.422909,67.9
14.740767,37.423023,67.6
14.743373,37.423779,66.3
14.743788,37.423903,66.6
14.744077,37.423956,67.0
14.744276,37.423973,67.2
14.745956,37.423987,69.8
14.746306,37.424003,70.0
14.747176,37.424114,70.0
14.748423,37.42429,67.8
14.749911,37.424491,62.0
14.751296,37.424684,58.7
14.752499,37.424853,57.4
14.755656,37.425293,57.7
14.756103,37.425356,57.8
14.75644,37.425411,57.8
14.756857,37.42552,57.8
14.758649,37.426078,56.9
14.762295,37.427235,55.3
14.762359,37.427256,55.3
14.762747,37.427371,55.2
14.762964,37.427433,55.1
14.763971,37.427718,55.0
14.766079,37.428324,54.5
14.767007,37.428591,53.7
14.770791,37.429712,51.3
14.772143,37.430094,51.0
14.772515,37.430199,50.9
14.77307,37.430327,50.5
14.773527,37.430396,50.2
14.774036,37.43041,49.9
14.774493,37.430392,49.6
14.776616,37.429978,49.2
14.779786,37.429266,49.6
14.780248,37.429174,49.7
14.780642,37.429184,49.7
14.780989,37.429229,49.7
14.781683,37.429454,49.4
14.786907,37.43199,44.8
14.795242,37.436,45.8
14.795908,37.436323,45.7
14.796315,37.436521,45.6
14.796669,37.436692,45.5
14.797041,37.436873,45.3
14.797646,37.437163,45.0
14.798591,37.437617,45.3
14.799575,37.438086,45.9
14.800055,37.438246,46.1
14.800425,37.438315,46.2
14.801183,37.438343,46.2
14.802957,37.43827,45.7
14.803242,37.438261,45.6
14.804911,37.4382,44.3
14.80496,37.438198,44.2
14.805585,37.438176,43.8
14.805772,37.438179,43.8
14.806562,37.438247,43.9
14.807008,37.438311,44.3
14.813287,37.439535,45.7
14.81358,37.43961,45.7
14.814012,37.439762,45.7
14.814709,37.440088,45.6
14.814977,37.440253,45.6
14.815296,37.440504,45.5
14.815766,37.440997,45.3
14.816408,37.441901,45.4
14.816712,37.442291,45.6
14.817357,37.442913,45.9
14.817713,37.44318,45.9
14.818158,37.443478,46.0
14.818475,37.443655,46.0
14.81883,37.443828,46.1
14.819838,37.444235,46.1
14.824969,37.446164,44.9
14.825861,37.446433,44.8
14.826886,37.44677,44.9
14.830086,37.447776,44.5
14.830516,37.447912,44.5
14.830912,37.448037,44.6
14.832194,37.448442,44.9
14.834049,37.449025,44.3
14.835503,37.449481,43.5
14.836688,37.449858,43.2
14.838679,37.450481,43.5
14.839158,37.450637,43.7
14.839709,37.450807,43.6
14.839785,37.450835,43.6
14.840192,37.450947,43.3
14.840369,37.45101,43.3
14.840802,37.451119,42.9
14.842691,37.451505,42.0
14.84359,37.451686,42.0
14.844196,37.451809,42.0
14.846112,37.452196,42.0
14.846362,37.452241,42.0
14.846862,37.452281,42.0
14.847149,37.45228,42.0
14.847484,37.452258,42.0
14.847949,37.452202,42.0
14.848924,37.452077,42.0
14.850601,37.451861,41.7
14.851249,37.451783,41.5
14.851498,37.451768,41.4
14.852037,37.451787,41.2
14.85467,37.452069,42.2
14.85691,37.452312,42.5
14.859121,37.452553,41.5
14.86027,37.452678,41.1
14.86047,37.452692,41.1
14.860694,37.452698,41.1
14.861666,37.4527,41.0
14.863315,37.452709,41.0
14.863562,37.452706,41.0
14.863951,37.452676,41.0
14.86619,37.452418,41.0
14.867384,37.45228,40.4
14.867651,37.45225,40.2
14.867969,37.452227,40.0
14.868241,37.452228,39.8
14.868914,37.45225,39.1
14.869045,37.452254,39.0
14.870345,37.452298,38.2
14.870454,37.452301,38.2
14.87154,37.452338,38.0
14.872724,37.452379,38.0
14.873617,37.452409,37.9
14.874206,37.452402,37.7
14.874404,37.452391,37.6
14.874563,37.452378,37.6
14.874731,37.452357,37.5
14.874939,37.452325,37.4
14.875859,37.452145,36.4
14.87626,37.452049,36.0
14.876904,37.451908,35.2
14.877382,37.451799,34.6
14.878937,37.451478,33.2
14.880788,37.451112,33.0
14.881658,37.450953,33.0
14.882233,37.45085,33.0
14.883428,37.450607,32.4
14.889996,37.449272,31.0
14.892216,37.448823,30.5
14.895811,37.448096,30.7
14.896473,37.447963,30.9
14.896645,37.447924,30.9
14.896937,37.447868,30.9
14.897464,37.447768,30.7
14.897708,37.447736,30.7
14.897923,37.447713,30.6
14.898406,37.447693,30.4
14.89892,37.447704,30.1
14.901921,37.447929,30.4
14.90247,37.447969,30.6
14.905826,37.448216,30.0
14.907814,37.448361,29.5
14.908365,37.448449,29.5
14.908683,37.448527,29.4
14.90896,37.448616,29.4
14.909437,37.448823,29.3
14.909666,37.448946,29.3
14.909845,37.449066,29.2
14.910172,37.449317,29.1
14.910327,37.449454,29.0
14.910704,37.449882,28.8
14.911243,37.450621,28.5
14.913681,37.45395,29.5
14.913782,37.454092,29.5
14.913927,37.454292,29.5
14.914583,37.455162,29.3
14.914962,37.455661,29.0
14.915205,37.455935,29.0
14.915406,37.456148,29.0
14.915911,37.45661,29.0
14.916287,37.456911,29.0
14.91792,37.458206,29.0
14.918544,37.458689,29.0
14.919438,37.45938,29.0
14.919726,37.459577,28.9
14.920289,37.459891,28.9
14.920749,37.460099,28.9
14.920953,37.460175,28.9
14.92153,37.46034,29.1
14.922122,37.460459,29.3
14.922235,37.460473,29.3
14.922699,37.460503,29.5
14.923261,37.460552,29.5
14.923701,37.460592,29.5
14.92624,37.460818,28.4
14.92713,37.460899,28.2
14.927657,37.460965,28.1
14.928007,37.461041,28.0
14.928413,37.461125,28.0
14.929952,37.461435,28.1
14.930537,37.461565,28.2
14.930962,37.461685,28.3
14.931131,37.461733,28.4
14.931544,37.46188,28.7
14.93294,37.462383,29.9
14.934577,37.462972,31.3
14.93514,37.463176,32.0
14.93554,37.463324,32.5
14.935998,37.463486,33.0
14.93611,37.463523,33.2
14.936165,37.463599,33.3
14.9362,37.463749,33.4
14.936214,37.463824,33.4
14.936148,37.46389,33.5
14.936101,37.463925,33.6
14.936034,37.46396,33.6
14.935927,37.463983,33.7
14.935827,37.463985,33.7
14.935517,37.463934,33.8
