longitude,latitude,altitude
12.450081,42.033634,94.0
12.450159,42.032775,96.5
12.450308,42.031153,95.2
12.450314,42.031091,94.8
12.450363,42.0306,93.0
12.450392,42.030309,92.2
12.450438,42.029705,91.2
12.450561,42.029639,91.1
12.450674,42.029557,91.1
12.451117,42.029154,91.0
12.45153,42.028707,91.0
12.451595,42.028587,91.0
12.45174,42.028318,91.0
12.451811,42.028157,91.0
12.451834,42.028104,91.0
12.451846,42.028071,91.0
12.452016,42.027621,90.4
12.452077,42.027475,90.3
12.452236,42.027029,89.6
12.452298,42.026903,89.5
12.452317,42.026863,89.5
12.452467,42.02658,89.3
12.452578,42.026418,89.2
12.452851,42.026066,89.3
12.45309,42.025757,89.5
12.453209,42.0256,89.7
12.45354,42.025173,90.0
12.454051,42.024485,89.6
12.45449,42.023959,89.0
12.454638,42.023834,88.9
12.454933,42.023642,88.6
12.455177,42.023504,88.4
12.455541,42.02331,88.2
12.456688,42.022712,86.6
12.457135,42.022455,85.6
12.457369,42.022263,85.1
12.457494,42.022089,84.7
12.457605,42.021892,84.2
12.457856,42.021084,82.8
12.458002,42.020784,82.5
12.458133,42.020571,82.3
12.458479,42.020159,81.7
12.458745,42.01992,81.4
12.45926,42.019538,80.9
12.459436,42.019402,80.7
12.459705,42.019196,80.5
12.460035,42.018893,80.1
12.460594,42.018253,79.3
12.4609,42.017933,78.9
12.461002,42.017845,78.8
12.461616,42.017435,78.4
12.462351,42.016961,78.1
12.462871,42.01663,76.6
12.463103,42.016453,75.7
12.463502,42.016046,73.3
12.463618,42.01596,72.8
12.463923,42.015801,71.4
12.464104,42.015636,70.4
12.464184,42.015513,70.0
12.464684,42.014338,69.3
12.464987,42.013656,70.3
12.465098,42.013452,70.6
12.465246,42.013259,70.9
12.466274,42.012116,64.3
12.466605,42.011757,60.4
12.466733,42.011644,59.4
12.466913,42.011553,58.4
12.46717,42.01152,56.7
12.467353,42.011528,55.9
12.467875,42.011602,53.6
12.468059,42.011585,53.1
12.468176,42.011552,52.8
12.46832,42.011457,52.5
12.46847,42.011231,52.1
12.468593,42.011126,52.0
12.46895,42.010943,52.0
12.469185,42.010796,51.9
12.469995,42.010356,49.7
12.470492,42.010046,46.5
12.470668,42.00998,45.7
12.471287,42.009879,41.7
12.471541,42.0098,40.4
12.471856,42.009635,38.7
12.472324,42.009353,37.1
12.472621,42.009154,36.4
12.472759,42.009062,36.3
12.472797,42.009037,35.9
12.474236,42.007371,29.7
12.474298,42.007304,29.6
12.474366,42.007311,29.5
12.475185,42.007387,28.9
12.475397,42.007408,28.8
12.47553,42.007414,28.7
12.47557,42.007417,28.5
12.475671,42.00831,28.7
12.475708,42.008639,29.3
12.475775,42.009025,30.3
12.475813,42.009296,31.3
12.475801,42.009518,32.2
12.475813,42.009677,32.6
12.475868,42.009784,33.1
12.47596,42.009866,33.5
12.476177,42.009998,34.4
12.476311,42.01011,34.8
12.47638,42.010204,35.3
12.476424,42.010351,35.7
12.476449,42.010675,37.1
12.476416,42.011103,38.7
12.476411,42.011177,39.4
12.476459,42.01129,40.0
12.476529,42.011363,40.7
12.476633,42.01143,41.2
12.476785,42.011477,41.8
12.477325,42.011503,45.6
12.477212,42.011666,47.8
12.476631,42.012575,58.8
12.47654,42.012888,61.3
12.476433,42.01376,63.2
12.476332,42.014012,63.5
12.476245,42.014115,63.6
12.475976,42.014367,63.8
12.475403,42.014769,64.1
12.47531,42.014835,64.2
12.474913,42.015116,64.7
12.474638,42.015414,65.1
12.473538,42.017093,70.5
12.47319,42.017578,72.3
12.472735,42.018019,72.9
12.471266,42.019257,72.8
12.470892,42.019572,73.7
12.470406,42.019983,75.5
12.470212,42.020201,76.1
12.470092,42.020421,76.6
12.470047,42.020566,76.9
12.469954,42.022135,79.3
12.469957,42.022279,79.4
12.469943,42.022445,79.4
12.469894,42.022655,79.6
12.469852,42.022743,79.6
12.469779,42.022853,79.7
12.469621,42.023008,79.8
12.469425,42.023146,79.9
12.468375,42.023794,81.4
12.468036,42.024019,82.1
12.467936,42.02412,82.4
12.467878,42.024245,82.7
12.46773,42.024778,84.1
12.467688,42.02495,84.4
12.467229,42.026775,86.9
12.467225,42.027001,86.9
12.46735,42.027393,86.9
12.467589,42.027939,87.0
12.467699,42.028129,87.0
12.468027,42.028644,87.0
12.468143,42.028817,87.0
12.468189,42.028888,87.0
12.468559,42.029436,86.8
12.46871,42.029721,86.8
12.469231,42.031303,88.5
12.469524,42.032205,90.3
12.469652,42.032628,91.2
12.469734,42.032865,91.7
12.46981,42.033195,92.4
12.469819,42.03353,93.1
12.469751,42.033917,93.8
12.469653,42.034316,94.6
12.469626,42.034424,94.8
12.469463,42.035064,95.7
12.46934,42.035385,96.1
12.468986,42.036185,97.4
12.468609,42.03702,98.7
12.468557,42.037131,98.9
12.46849,42.037293,99.2
12.468363,42.037666,101.0
12.468221,42.038137,103.6
12.467903,42.038893,107.4
12.467844,42.03901,107.8
12.467534,42.03964,108.0
12.46744,42.039968,107.4
12.467407,42.04019,106.8
12.467346,42.040613,105.6
12.467284,42.041045,104.4
12.467221,42.041477,103.6
12.467216,42.041513,103.3
12.467203,42.041592,102.9
12.467096,42.042241,100.1
12.467088,42.042274,99.7
12.467056,42.042633,98.7
12.46702,42.043038,97.3
12.467012,42.043204,96.9
12.466988,42.043712,96.1
12.466962,42.044271,96.4
12.466909,42.044684,96.6
12.466771,42.045141,96.9
12.466668,42.045397,97.0
12.466446,42.04595,98.2
12.466266,42.046424,100.3
12.466212,42.046566,100.8
12.465949,42.047177,104.4
12.465718,42.047516,106.1
12.465398,42.047822,106.9
12.463673,42.049289,106.9
12.462188,42.050544,111.0
12.461571,42.051065,113.9
12.461193,42.051393,115.1
12.460762,42.051711,116.0
12.459812,42.052353,116.8
12.459499,42.052628,117.1
12.458642,42.053571,118.0
12.45779,42.054473,118.9
12.457228,42.055005,119.4
12.456245,42.055936,119.9
12.454638,42.057459,120.5
12.453281,42.058744,121.9
12.452825,42.059122,121.9
12.452684,42.059204,121.8
12.452521,42.059284,121.6
12.451768,42.059547,120.3
12.451618,42.059612,119.8
12.451489,42.059717,119.4
12.451395,42.059834,119.0
12.451286,42.060095,117.8
12.451182,42.060445,116.7
12.450716,42.062611,118.9
12.450622,42.063381,120.9
12.450595,42.063625,121.3
12.450576,42.064614,124.4
12.450568,42.064865,125.2
12.450551,42.065379,127.2
12.450532,42.065965,129.2
12.450463,42.066701,131.8
12.450231,42.069099,143.1
12.450098,42.070448,143.8
12.45003,42.07085,142.9
12.449948,42.071164,142.1
12.449389,42.072858,145.2
12.449262,42.073241,147.0
12.449127,42.073739,148.6
12.448952,42.07429,149.9
12.448539,42.075353,151.5
12.448431,42.075733,152.0
12.448036,42.077666,159.3
12.447859,42.079276,169.9
12.447783,42.07978,172.8
12.44773,42.079995,173.7
12.447588,42.08031,174.8
12.447562,42.080415,175.1
12.447556,42.080616,175.6
12.447603,42.080831,175.7
12.447669,42.081019,175.6
12.448046,42.081808,173.3
12.448017,42.081962,172.9
12.447898,42.082086,172.5
12.447671,42.082159,171.9
12.447435,42.08213,171.5
12.44707,42.081998,170.7
12.446784,42.081984,170.4
12.446587,42.082006,170.3
12.446025,42.082379,169.5
12.445867,42.082547,169.4
12.445867,42.082738,169.3
12.447247,42.084809,165.8
12.447291,42.084894,165.6
12.447385,42.085079,165.6
12.447395,42.085306,165.8
12.447385,42.085387,166.1
12.447178,42.087019,175.7
12.446942,42.087919,180.5
12.446657,42.088717,184.9
12.446544,42.089346,188.5
12.446274,42.091149,197.9
12.446197,42.091425,199.2
12.446101,42.091611,200.1
12.445883,42.091948,201.7
12.445781,42.092197,202.5
12.445765,42.092302,202.9
12.445778,42.092422,203.2
12.445903,42.092879,204.6
12.445929,42.093036,204.9
12.445887,42.093343,205.4
12.445884,42.093461,205.6
12.445915,42.093582,205.8
12.445971,42.093664,206.7
12.446229,42.093851,208.5
12.446562,42.094032,211.2
12.446724,42.094159,212.0
12.4468,42.094245,212.9
12.446855,42.094369,213.7
12.446896,42.094548,215.4
12.446911,42.094753,217.3
12.4469,42.094907,218.4
12.44657,42.095911,227.7
12.446515,42.096137,229.8
12.446591,42.096055,231.0
12.44668,42.095977,232.2
12.44704,42.095755,235.8
12.447168,42.095735,236.9
12.447468,42.095827,238.9
12.447649,42.095932,239.8
12.447809,42.096137,241.6
12.447927,42.096316,243.4
12.44809,42.096557,245.7
12.448269,42.096731,247.2
12.448442,42.096801,247.5
12.449093,42.09684,247.8
12.449253,42.096932,247.8
12.449337,42.097004,247.8
12.449416,42.097111,247.9
12.449442,42.097265,247.9
12.449427,42.097393,248.0
12.449369,42.09753,248.0
12.449306,42.097623,248.0
12.449201,42.097779,248.0
12.449182,42.097978,248.1
12.449251,42.098184,248.1
12.449306,42.09858,248.1
12.449201,42.0989,248.2
12.449017,42.099204,248.1
12.44888,42.099285,248.1
12.448712,42.099342,248.1
12.448508,42.099385,248.0
12.448374,42.099453,248.0
12.448295,42.099568,247.9
12.4483,42.099673,247.8
12.448235,42.099858,247.7
12.448179,42.099942,247.5
12.44803,42.100098,247.1
12.447736,42.100343,246.2
12.447602,42.10048,245.9
12.447504,42.100628,245.6
12.447373,42.10078,245.1
12.447284,42.100924,244.9
12.447174,42.10135,244.7
12.447058,42.101594,245.2
12.446937,42.101814,245.9
12.446908,42.101871,245.1
12.446851,42.102019,244.4
12.446735,42.102183,243.1
12.446633,42.102288,242.4
12.446275,42.102578,239.6
12.446134,42.10266,238.9
12.445924,42.102853,237.4
12.445892,42.102948,236.5
12.445926,42.103056,235.5
12.446042,42.103233,233.1
12.44637,42.103398,229.0
12.446494,42.103476,227.6
12.446591,42.103582,227.2
12.446656,42.103718,226.9
12.446662,42.103991,226.7
12.446572,42.104109,226.8
12.446275,42.104669,227.3
12.446246,42.104759,227.5
12.446225,42.105103,228.4
12.446228,42.105189,228.7
12.446253,42.105219,229.1
12.446291,42.105236,229.4
12.446345,42.105242,229.8
12.446447,42.105235,230.1
12.446339,42.105308,230.5
12.446241,42.105366,230.7
12.446174,42.105405,231.0
12.446018,42.105513,231.3
12.445822,42.10569,231.8
12.445756,42.105725,232.1
12.445636,42.105781,233.0
12.445781,42.105784,233.2
12.446023,42.105766,233.6
12.446349,42.105771,234.1
12.446369,42.105805,234.1
12.446464,42.10594,234.9
12.446507,42.106049,235.9
12.446516,42.106244,237.8
12.446465,42.106386,239.4
12.446465,42.106461,240.9
12.446484,42.10673,244.0
12.446469,42.106831,245.5
12.446481,42.107052,248.3
12.446461,42.107093,249.7
12.446443,42.107175,251.1
12.44654,42.107564,256.5
12.446534,42.107634,258.0
12.446507,42.107686,259.5
12.446414,42.107767,261.1
12.446397,42.10783,262.0
12.446431,42.107888,262.8
12.446565,42.107942,263.6
12.446617,42.107986,264.3
12.446647,42.10804,264.5
12.446652,42.108099,264.7
12.446655,42.108315,267.1
12.446661,42.108345,268.7
12.446721,42.108496,270.3
12.446713,42.10877,275.1
12.446703,42.108823,276.6
12.446672,42.10899,278.1
12.44653,42.109218,281.1
12.446473,42.109469,284.1
12.446273,42.109785,288.5
12.446149,42.109992,291.4
12.446116,42.110269,296.2
12.446093,42.110528,297.4
12.445995,42.110746,298.7
12.445837,42.11099,300.6
12.445653,42.11119,302.2
12.445503,42.111553,305.8
12.445374,42.11193,309.4
12.445278,42.11203,310.2
12.445377,42.112272,311.0
12.445821,42.112587,312.2
12.445911,42.112738,312.5
12.446024,42.112991,313.0
12.44619,42.113163,313.2
12.446362,42.113418,313.5
