longitude,latitude,altitude
10.516555,45.181509,31.0
10.516691,45.181379,30.9
10.517518,45.180805,30.6
10.518661,45.180147,30.5
10.519691,45.17902,30.6
10.519945,45.1788,30.7
10.520823,45.178155,30.9
10.519423,45.177265,30.6
10.518168,45.176018,30.5
10.516537,45.173824,31.6
10.515589,45.172549,32.0
10.515286,45.172142,32.0
10.515192,45.172016,32.0
10.514988,45.171736,31.8
10.514673,45.17131,31.5
10.514377,45.170912,31.4
10.514345,45.170867,31.4
10.514288,45.170797,31.4
10.51411,45.170549,31.4
10.513877,45.170375,31.4
10.513574,45.17024,31.5
10.513511,45.170205,31.6
10.51345,45.170177,31.7
10.513383,45.17015,31.8
10.513295,45.170125,31.9
10.513459,45.169735,32.2
10.513569,45.169594,32.2
10.513789,45.169241,32.2
10.513798,45.169223,32.2
10.513808,45.169201,32.2
10.514073,45.168714,32.0
10.514098,45.168662,32.0
10.514114,45.168615,32.0
10.514204,45.168455,31.9
10.514786,45.167638,32.0
10.515106,45.167153,32.6
10.515121,45.16713,32.8
10.515178,45.167056,33.0
10.515209,45.167015,33.2
10.515385,45.166787,33.5
10.515629,45.166471,33.8
10.51567,45.166421,33.8
10.515815,45.166284,33.8
10.51668,45.165524,32.9
10.516729,45.165479,32.7
10.51679,45.165424,32.5
10.516938,45.1653,32.3
10.517688,45.164671,31.2
10.518266,45.164204,31.0
10.519291,45.163377,31.0
10.519321,45.163316,30.9
10.519351,45.163269,30.7
10.519358,45.163226,30.6
10.519355,45.163137,30.4
10.519344,45.163065,30.3
10.517774,45.162136,28.0
10.517344,45.161884,27.9
10.516032,45.161124,26.9
10.515903,45.161045,26.8
10.513935,45.159879,26.5
10.513642,45.159703,26.7
10.513878,45.159572,26.8
10.51423,45.159121,27.1
10.515638,45.157016,28.3
10.515852,45.156876,28.3
10.51724,45.156415,28.5
10.518401,45.155982,28.7
10.518754,45.155789,28.9
10.518869,45.155675,28.9
10.518798,45.155536,29.0
10.518367,45.154988,29.2
10.517687,45.153926,29.0
10.517141,45.15314,28.6
10.517087,45.153043,28.5
10.517385,45.152911,28.3
10.519843,45.152446,26.9
10.520275,45.152335,26.8
10.520775,45.152031,26.6
10.521553,45.151595,26.3
10.521618,45.151449,26.3
10.521577,45.151296,26.3
10.520769,45.150166,26.7
10.52046,45.149664,27.0
10.520392,45.14951,27.1
10.520416,45.149403,27.1
10.520848,45.148775,27.6
10.520954,45.148669,27.6
10.52135,45.148465,27.9
10.521886,45.148217,28.3
10.523431,45.147818,28.7
10.523818,45.147697,28.5
10.524112,45.147633,28.4
10.525028,45.147626,28.2
10.525838,45.147594,28.4
10.526835,45.147206,30.0
10.527736,45.146962,31.8
10.529282,45.146604,32.4
10.52948,45.146463,32.0
10.530079,45.145908,30.4
10.530112,45.145809,30.2
10.530047,45.145609,29.6
10.530074,45.145525,29.4
10.530252,45.145447,29.1
10.534306,45.144213,26.2
10.537195,45.143316,25.4
10.537687,45.143163,25.4
10.53777,45.143137,25.4
10.539138,45.142712,25.6
10.539541,45.14253,25.7
10.539627,45.142428,25.7
10.539601,45.142215,25.7
10.539535,45.142073,25.7
10.538993,45.141237,25.0
10.538046,45.13987,23.9
10.537894,45.139694,23.8
10.537524,45.139571,23.8
10.537328,45.139463,23.8
10.537143,45.139187,23.8
10.536893,45.138742,23.9
10.536794,45.138509,23.8
