longitude,latitude,altitude
13.156762,45.954574,40.0
13.156809,45.954614,39.5
13.157035,45.954752,39.3
13.157281,45.954651,39.2
13.158673,45.953968,39.2
13.159707,45.953436,39.5
13.160083,45.953213,39.7
13.160327,45.953042,39.8
13.160509,45.95289,39.9
13.161646,45.951904,39.4
13.162993,45.950752,38.3
13.163224,45.950598,38.3
13.16351,45.950459,38.4
13.163767,45.950347,38.4
13.164122,45.950261,38.6
13.164469,45.950216,38.7
13.16494,45.950199,38.9
13.166883,45.950079,40.3
13.167263,45.95007,40.5
13.167664,45.950088,40.6
13.16928,45.950252,41.0
13.169473,45.950252,41.0
13.169642,45.950236,41.0
13.169658,45.950293,41.0
13.16969,45.950356,41.0
13.169769,45.950358,41.0
13.169847,45.950357,41.0
13.169827,45.950463,41.0
13.169816,45.950548,41.0
13.169746,45.950739,41.0
13.168714,45.955263,42.3
13.168314,45.956644,42.4
13.168246,45.95681,42.4
13.168082,45.95708,42.5
13.167389,45.958224,43.0
13.166796,45.959256,43.5
13.165946,45.960733,44.0
13.165072,45.962167,44.5
13.164728,45.962629,44.7
13.16406,45.963526,45.6
13.163573,45.964151,46.3
13.163191,45.964641,47.0
13.162719,45.965258,47.7
13.162206,45.965928,48.1
13.162124,45.966036,48.1
13.162093,45.966076,48.0
13.161335,45.967067,47.5
13.161198,45.967258,47.5
13.160969,45.967549,47.7
13.160836,45.967718,47.9
13.160255,45.96849,48.6
13.160068,45.96874,48.8
13.159906,45.968955,48.8
13.15958,45.96939,48.8
13.15922,45.969889,48.7
13.159198,45.96992,48.7
13.158993,45.970225,48.8
13.158836,45.970462,48.9
13.158657,45.970651,49.0
13.158477,45.970798,49.2
13.159279,45.971336,50.0
13.159496,45.971466,50.2
13.159862,45.97161,50.4
13.16128,45.97234,51.0
13.161527,45.972544,51.0
13.161978,45.973051,51.0
13.162072,45.973115,51.0
13.162227,45.973181,51.0
13.163524,45.973349,51.4
13.163547,45.973354,51.4
13.163928,45.973436,51.5
13.164311,45.973536,51.6
13.164445,45.973574,51.6
13.165475,45.973868,51.1
13.166257,45.974081,50.6
13.170701,45.975335,48.5
13.172294,45.975784,49.5
13.172919,45.975929,50.6
13.173451,45.976021,51.4
13.176056,45.976287,53.4
13.176442,45.976347,53.6
13.176825,45.976456,53.8
13.177159,45.976634,53.9
13.177492,45.976862,54.0
13.178323,45.977536,54.0
13.178769,45.977912,54.1
13.18134,45.980288,55.2
13.181611,45.980476,55.3
13.181957,45.980677,55.5
13.182806,45.98108,56.6
13.183332,45.981327,57.5
13.185231,45.98224,60.2
13.18581,45.982524,60.4
13.18616,45.982696,60.4
13.186645,45.982926,60.2
13.187099,45.983105,60.0
13.187518,45.983222,59.6
13.188203,45.983371,58.8
13.188816,45.983506,58.4
13.189601,45.983688,58.3
13.190852,45.983974,58.9
13.191863,45.984198,58.8
13.192263,45.984311,58.5
13.192651,45.984462,58.3
13.192915,45.984603,58.1
13.193032,45.984665,58.0
13.193925,45.985141,57.9
13.195411,45.985942,59.3
13.195527,45.986016,59.5
13.195715,45.986104,59.7
13.195764,45.986126,59.9
13.195809,45.986147,60.1
13.195875,45.98617,60.3
13.195885,45.986209,60.5
13.195938,45.986302,60.7
13.195922,45.986385,60.9
13.195879,45.986441,61.1
13.195802,45.986454,61.2
13.195874,45.986476,61.4
13.195997,45.986567,61.6
13.19602,45.986583,61.7
13.19623,45.986804,62.1
13.196309,45.986832,62.2
13.196877,45.986947,62.8
13.197261,45.986991,63.0
13.197653,45.986998,63.1
13.197843,45.987048,63.1
13.198287,45.987176,63.3
13.198637,45.98728,63.5
13.199163,45.987611,63.9
13.199352,45.987716,64.1
13.199806,45.987902,64.8
13.200596,45.988229,66.3
13.200905,45.988381,66.6
13.201174,45.988546,67.0
13.201313,45.988663,67.2
13.201559,45.988955,67.7
13.201714,45.989027,67.8
13.201787,45.989743,68.7
13.201846,45.990264,70.0
13.20188,45.990705,71.1
13.201907,45.990983,71.7
13.201945,45.991388,72.4
13.202061,45.992066,72.7
13.202166,45.99248,72.3
13.202316,45.992852,72.1
13.202443,45.993081,72.0
13.202746,45.993555,72.1
13.203787,45.995152,72.8
13.204113,45.995742,72.6
13.204282,45.99614,72.6
13.204347,45.996313,72.5
13.204448,45.996584,72.2
13.205414,45.999292,72.0
13.205614,45.999744,72.3
13.205992,46.000492,72.3
13.20644,46.001365,71.0
13.206524,46.001529,70.8
13.20664,46.001769,70.4
13.206669,46.001828,70.3
13.207252,46.002996,70.4
13.207334,46.003153,70.5
13.207409,46.003296,70.6
13.208248,46.004941,70.5
13.209289,46.007043,72.0
13.209434,46.007502,72.5
13.209483,46.007761,72.7
13.209507,46.007945,73.0
13.20972,46.00935,73.1
13.209867,46.010274,72.7
13.209907,46.010519,72.7
13.209914,46.010654,72.8
13.210001,46.011851,73.5
13.210022,46.012087,73.6
13.210059,46.012301,73.5
13.210125,46.012548,73.5
13.210206,46.012767,73.6
13.210455,46.01328,73.9
13.210549,46.013484,74.1
13.211504,46.015174,76.5
13.211907,46.015899,77.3
13.21192,46.015923,77.4
13.211976,46.016024,77.5
13.212044,46.016146,77.6
13.211924,46.016138,77.6
13.211822,46.016124,77.7
13.211464,46.016059,77.9
13.21027,46.01622,78.2
13.210256,46.016222,78.2
13.209678,46.016283,78.2
13.208432,46.01636,77.8
13.208053,46.016383,77.6
13.20796,46.016743,77.4
13.207902,46.016968,77.4
13.207809,46.017728,77.3
13.207768,46.017799,77.3
13.207644,46.017896,77.3
13.207477,46.018077,77.2
13.207388,46.018303,77.2
13.207397,46.01892,77.0
13.207597,46.019652,76.9
13.207618,46.019821,76.9
13.207622,46.019964,77.0
13.207618,46.02004,77.1
13.207512,46.022019,79.9
13.207518,46.022157,80.0
13.207547,46.022258,80.0
13.207591,46.02233,80.0
13.207756,46.022526,80.1
13.207765,46.022534,80.1
13.207908,46.022711,80.1
13.208062,46.022981,80.1
13.208436,46.023928,79.8
13.208636,46.024434,79.5
13.208718,46.024642,79.4
13.208824,46.024887,79.4
13.20891,46.025084,79.4
13.208939,46.025151,79.5
13.209085,46.025426,79.7
13.209118,46.025484,79.8
13.209191,46.025606,79.8
13.209283,46.025741,79.9
13.209444,46.025963,80.0
13.209512,46.026051,80.1
13.209696,46.026316,80.4
13.209742,46.026395,80.5
13.20979,46.026488,80.6
13.209827,46.026573,80.7
13.209858,46.026651,80.8
13.209886,46.02675,80.8
13.20991,46.026859,80.8
13.20993,46.026984,80.8
13.209966,46.027296,80.6
13.209992,46.027569,80.4
13.209994,46.027719,80.3
13.209968,46.02785,80.2
13.209962,46.027879,80.1
13.209971,46.027926,80.1
13.209996,46.027991,80.0
13.210024,46.028034,80.0
13.210045,46.028051,80.0
13.21007,46.028096,80.0
13.210069,46.028122,80.0
13.210058,46.028148,80.0
13.210029,46.028177,80.0
13.210004,46.028191,80.0
13.210016,46.028388,80.1
13.210018,46.028428,80.2
13.210114,46.029487,81.3
13.210163,46.029599,81.3
13.210266,46.029674,81.4
13.210805,46.029893,81.7
13.210876,46.029961,81.8
13.211045,46.030281,82.1
13.211296,46.03064,82.7
13.211426,46.030798,83.1
13.21159,46.030991,83.5
13.211641,46.031057,83.7
