longitude,latitude,altitude
9.304902,48.743322,244.7
9.305079,48.743339,244.8
9.305241,48.743355,246.6
9.305318,48.743361,247.4
9.305592,48.743383,248.2
9.305891,48.743401,248.4
9.306309,48.743395,248.6
9.306481,48.743388,248.6
9.307095,48.743332,248.1
9.307354,48.743305,247.9
9.307437,48.743297,247.8
9.30785,48.743255,247.7
9.308155,48.743228,247.6
9.30864,48.743185,247.3
9.308804,48.74317,247.3
9.309535,48.743098,247.2
9.310144,48.743014,247.8
9.310678,48.742932,248.6
9.310759,48.742918,248.8
9.310798,48.742911,249.0
9.311016,48.742885,249.0
9.311208,48.742856,249.0
9.311452,48.742817,249.0
9.311643,48.742781,248.9
9.311793,48.742741,248.8
9.311949,48.742698,248.6
9.312459,48.742594,247.9
9.312951,48.742497,247.0
9.313192,48.742448,246.6
9.313595,48.742346,245.5
9.314018,48.742261,244.5
9.314295,48.74221,243.9
9.314458,48.742181,243.8
9.31457,48.74216,243.6
9.314773,48.742137,243.5
9.314872,48.74214,243.4
9.315026,48.742178,243.4
9.3157,48.742166,243.4
9.316386,48.742148,243.7
9.316445,48.742142,243.8
9.316514,48.742132,243.9
9.31975,48.741392,247.9
9.320584,48.741207,249.1
9.321164,48.741091,250.4
9.32127,48.74107,250.9
9.321449,48.741033,251.4
9.321575,48.741005,252.0
9.321629,48.740995,252.5
9.322017,48.740918,253.8
9.322246,48.740877,254.6
9.322487,48.740836,255.4
9.322911,48.740776,257.8
9.323328,48.740733,260.1
9.323608,48.74071,262.0
9.323874,48.740692,262.9
9.324298,48.740669,265.6
9.324456,48.740662,266.6
9.324783,48.740652,268.3
9.32513,48.74065,270.1
9.32523,48.740652,270.9
9.325337,48.740657,271.6
9.325466,48.740668,272.3
9.32571,48.740696,273.0
9.325856,48.740721,273.7
9.326041,48.740756,274.5
9.32622,48.7408,275.3
9.326392,48.740852,276.3
9.326532,48.7409,277.3
9.326669,48.740955,278.3
9.326787,48.741005,279.1
9.327007,48.741105,280.0
9.327074,48.741141,280.8
9.327144,48.741179,281.5
9.327191,48.741204,282.2
9.327331,48.741284,282.8
9.327463,48.741369,283.4
9.327545,48.741432,284.0
9.327545,48.741526,284.6
9.327544,48.741626,285.1
9.327543,48.741788,285.7
9.327537,48.741875,286.3
9.327536,48.741969,286.8
9.327534,48.742094,287.4
9.327529,48.742173,288.3
9.327463,48.742514,290.4
9.327404,48.742657,291.0
9.327302,48.742786,291.6
9.327191,48.742892,292.4
9.32705,48.743,293.3
9.326921,48.743087,294.1
9.32675,48.743186,295.0
9.326621,48.743258,295.8
9.326515,48.743322,296.8
9.326226,48.743499,298.8
9.326104,48.743577,299.9
9.325982,48.743659,301.1
9.325907,48.743715,302.2
9.325845,48.743766,303.2
9.325795,48.743804,304.3
9.325372,48.744137,307.8
9.325249,48.744232,308.7
9.325147,48.744325,309.5
9.325026,48.744433,310.2
9.32483,48.744626,311.6
9.324663,48.744839,313.2
9.324579,48.744976,314.0
9.324517,48.745092,314.6
9.324463,48.745228,315.1
9.324418,48.745389,315.5
9.324412,48.745419,315.8
9.32439,48.745545,316.1
9.324372,48.745698,316.4
9.324366,48.745794,316.7
9.324353,48.745916,316.8
9.324331,48.746032,316.9
9.324299,48.746155,316.9
9.324242,48.746294,317.0
9.32418,48.74641,317.0
9.324146,48.746468,317.4
9.32409,48.74655,317.8
9.324063,48.746584,318.2
9.324025,48.746631,318.4
9.323942,48.746725,318.3
9.323856,48.746813,318.0
9.323741,48.746924,317.8
9.323665,48.746998,317.5
9.323268,48.74745,317.3
9.322961,48.747942,317.5
9.322958,48.747949,317.6
9.322943,48.747983,317.6
9.322895,48.748106,317.3
9.322874,48.748244,316.9
9.322848,48.7483,316.6
9.322827,48.748328,316.3
9.32281,48.748351,315.9
9.322757,48.748426,315.4
9.322759,48.748441,315.0
9.322749,48.748472,314.5
9.322737,48.748486,314.0
9.322734,48.748558,313.5
9.322722,48.748597,313.0
9.322713,48.74863,312.5
9.322704,48.748651,312.0
9.322603,48.748807,311.5
9.322575,48.748869,311.0
9.322485,48.749053,310.1
9.322451,48.749121,309.7
9.322415,48.749193,309.2
9.322079,48.749697,305.8
9.32199,48.749891,305.4
9.321974,48.749936,305.2
9.321955,48.749989,304.8
9.321945,48.750016,304.2
9.321931,48.750056,303.6
9.321923,48.750081,303.0
