longitude,latitude,altitude
10.020448,54.081711,23.0
10.021713,54.083737,23.0
10.02164,54.083757,23.0
10.021946,54.084217,23.0
10.022826,54.085486,23.5
10.02336,54.086241,24.2
10.02417,54.08734,24.7
10.024324,54.08756,24.7
10.024725,54.088343,24.3
10.024849,54.088651,24.2
10.024883,54.088724,24.2
10.025046,54.08905,24.2
10.025333,54.089517,24.5
10.026132,54.09063,25.3
10.026621,54.091202,25.6
10.026668,54.091255,25.7
10.026683,54.09127,25.7
10.026738,54.091328,25.8
10.027022,54.09162,25.9
10.027055,54.091648,26.0
10.02769,54.092202,26.5
10.028245,54.092616,26.8
10.028348,54.092688,26.8
10.028509,54.092805,26.9
10.028536,54.09283,26.9
10.028683,54.092964,26.9
10.028799,54.093088,27.0
10.028915,54.093276,27.0
10.029069,54.093597,27.2
10.029257,54.093926,27.4
10.029309,54.093999,27.4
10.02956,54.094353,27.4
10.029636,54.094579,27.4
10.029637,54.094674,27.4
10.029638,54.094704,27.4
10.029617,54.094888,27.4
10.029605,54.094998,27.4
10.029583,54.09517,27.4
10.029573,54.095375,27.3
10.029471,54.095554,27.2
10.029356,54.095638,27.1
10.029284,54.09568,27.0
10.029254,54.095696,26.9
10.029107,54.095756,26.8
10.028546,54.095826,26.5
10.028312,54.095885,26.4
10.027836,54.096057,26.0
10.026859,54.096418,24.9
10.02519,54.097011,24.0
10.024727,54.097176,23.9
10.023205,54.09769,23.4
10.020833,54.098587,23.0
10.020212,54.098828,23.0
10.020147,54.098852,23.0
10.01949,54.099098,23.2
10.018476,54.099484,23.6
10.018175,54.099551,23.7
10.01719,54.099575,24.3
10.017019,54.099544,24.4
10.016735,54.099494,24.5
10.016359,54.099427,24.8
10.015968,54.099416,25.1
10.015398,54.099425,25.5
10.01454,54.099438,26.2
10.014466,54.099439,26.3
10.014042,54.099478,26.5
10.013899,54.099503,26.7
10.013798,54.099521,26.8
10.013683,54.09954,27.0
10.013414,54.099585,27.1
10.012121,54.099646,27.6
10.010403,54.099644,27.5
10.009335,54.099634,27.3
10.008347,54.099617,27.1
10.006886,54.099599,27.0
10.005895,54.099596,27.0
10.005366,54.09959,27.0
10.003941,54.099581,27.0
10.003845,54.099578,27.0
10.003749,54.099578,27.0
10.003111,54.099571,27.0
10.002085,54.099561,27.0
10.001874,54.09956,27.0
9.997264,54.099507,27.7
9.996418,54.099499,27.8
9.995975,54.099494,27.9
9.995791,54.099491,27.9
9.995692,54.09944,27.8
9.995678,54.099209,27.8
9.995638,54.099173,27.7
9.9956,54.099138,27.7
9.995572,54.099146,27.7
9.995481,54.099153,27.6
9.995416,54.099144,27.6
9.995381,54.099131,27.5
9.99532,54.099081,27.5
9.99531,54.099056,27.4
9.995167,54.099022,27.4
9.995101,54.099005,27.3
9.994975,54.09899,27.3
9.994538,54.098944,27.2
