longitude,latitude,altitude
11.544357,47.702721,691.7
11.544299,47.702624,691.5
11.544169,47.702351,690.9
11.544302,47.702079,691.2
11.544564,47.701807,691.6
11.544764,47.701646,691.8
11.544906,47.701426,692.0
11.544923,47.701255,692.1
11.544874,47.701118,692.2
11.544643,47.700844,692.6
11.544612,47.700667,692.8
11.544586,47.699912,695.4
11.544527,47.699551,696.9
11.544562,47.699203,698.4
11.544621,47.699093,699.2
11.544707,47.698941,700.1
11.544764,47.698841,701.0
11.544968,47.698636,702.7
11.545384,47.698214,707.2
11.545557,47.698,708.9
11.545975,47.69764,712.5
11.54626,47.697435,714.2
11.546733,47.697355,714.8
11.54712,47.697365,715.0
11.549952,47.69764,700.5
11.552503,47.698094,687.3
11.553292,47.698187,686.4
11.553578,47.698168,686.2
11.553723,47.698088,686.0
11.554005,47.69784,685.7
11.554086,47.697783,685.6
11.554177,47.697717,685.5
11.554289,47.697673,685.4
11.554504,47.697716,685.4
11.555102,47.697889,685.2
11.55515,47.697915,685.3
11.555294,47.69799,685.3
11.555438,47.698056,685.3
11.555819,47.698191,685.2
11.556024,47.698253,685.1
11.556107,47.69828,685.0
11.556224,47.698319,684.9
11.556393,47.698375,684.8
11.556541,47.698413,684.6
11.556697,47.698455,684.0
11.556889,47.698481,683.5
11.557087,47.698483,682.9
11.557304,47.698441,682.4
11.557554,47.698363,681.2
11.557703,47.698302,680.5
11.557886,47.698225,679.8
11.558087,47.69815,679.0
11.558216,47.698101,678.3
11.558373,47.698051,677.7
11.558638,47.697979,676.5
11.558888,47.69789,675.2
11.559243,47.697789,674.1
11.559478,47.697743,673.6
11.559674,47.69776,673.1
11.559835,47.697799,672.7
11.559961,47.697404,672.2
11.56005,47.697209,672.0
11.560191,47.696897,672.2
11.560218,47.696848,672.2
11.560259,47.69677,672.1
11.560338,47.696615,672.1
11.560396,47.69642,672.0
11.560385,47.696351,672.0
11.560299,47.696184,671.9
11.560185,47.696036,671.9
11.560137,47.695915,672.0
11.560123,47.695805,672.0
11.560209,47.695437,672.2
11.560211,47.695319,672.2
11.560161,47.695061,672.4
11.560126,47.694887,672.4
11.560125,47.694768,672.5
11.56022,47.694334,672.9
11.560267,47.694156,673.6
11.560278,47.694046,674.0
11.560276,47.693836,674.8
11.560297,47.693732,675.1
11.560323,47.693687,675.5
11.560361,47.69363,675.9
11.560566,47.693326,677.7
11.560665,47.693212,678.4
11.560922,47.69302,679.9
11.561262,47.692839,682.0
11.561658,47.692621,684.3
11.561686,47.692604,684.7
11.561801,47.69253,684.9
11.562008,47.692398,685.5
11.562418,47.692144,686.8
11.562656,47.691969,687.2
11.562835,47.69179,687.1
11.562977,47.691566,686.7
11.56305,47.691409,686.5
11.563059,47.691262,686.2
11.563057,47.691194,685.9
11.563018,47.690952,685.2
11.562925,47.690592,684.3
11.562931,47.69034,683.7
11.562985,47.690144,683.0
11.563059,47.689995,682.6
11.563013,47.689845,682.1
11.562988,47.689772,681.7
11.562776,47.689307,679.9
11.562766,47.689241,679.7
11.562757,47.689175,679.6
11.562739,47.689051,679.5
11.562722,47.68893,679.5
11.562737,47.688846,679.5
11.562772,47.688645,679.6
11.562989,47.688254,679.9
11.563077,47.688156,680.1
11.563292,47.687915,680.8
11.563412,47.687798,680.9
11.563563,47.687673,681.0
11.563659,47.687594,681.1
11.563912,47.687421,681.2
11.564079,47.687341,681.4
11.564323,47.687225,681.4
